N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.50,202.93,rice
85,58,41,21.42,80.32,6.62,226.65,rice
60,55,44,23.00,82.32,6.71,110.02,maize
74,35,40,26.98,80.35,7.14,151.77,maize
78,42,42,21.65,80.35,6.36,181.28,chickpea
69,37,38,20.05,76.26,6.37,107.56,chickpea
40,50,50,25.00,65.00,6.20,200.00,wheat
45,55,45,22.00,60.00,6.00,150.00,wheat
25,35,45,27.00,70.00,6.80,180.00,cotton
30,40,40,29.00,75.00,7.00,190.00,cotton
20,30,40,30.00,80.00,6.50,220.00,sugarcane
22,28,42,31.00,82.00,6.40,230.00,sugarcane
80,40,40,24.00,78.00,5.80,190.00,coffee
82,38,39,23.50,79.00,5.90,185.00,coffee
35,45,55,26.00,68.00,6.10,140.00,peas
38,48,52,24.50,70.00,6.20,145.00,peas
55,60,40,19.00,72.00,6.70,175.00,barley
58,62,42,18.50,70.00,6.60,170.00,barley
95,40,45,21.00,85.00,6.80,210.00,banana
98,42,47,22.00,87.00,6.90,215.00,banana
